year,city,country,avg_temp,"MA
10 years",,,year,MA -10,avg_temp,,,,,
1964,Riyadh,Saudi Arabia,25.14,25.29,,,1871,8.128181818,8.12,,,,,
1965,Riyadh,Saudi Arabia,25.59,25.27090909,,,1872,8.159090909,8.19,,,,,
1966,Riyadh,Saudi Arabia,26.16,25.34636364,,,1873,8.230909091,8.35,,,,,
1967,Riyadh,Saudi Arabia,24.87,25.33272727,,,1874,8.26,8.43,,,,,
1968,Riyadh,Saudi Arabia,25.21,25.38,,,1875,8.249090909,7.86,,,,,
1969,Riyadh,Saudi Arabia,26.05,25.41727273,,,1876,8.24,8.08,,,,,
1970,Riyadh,Saudi Arabia,25.84,25.57181818,,,1877,8.262727273,8.54,,,,,
1971,Riyadh,Saudi Arabia,24.93,25.50454545,,,1878,8.298181818,8.83,,,,,
1972,Riyadh,Saudi Arabia,24.74,25.47,,,1879,8.290909091,8.17,,,,,
1973,Riyadh,Saudi Arabia,25.6,25.42454545,,,1880,8.262727273,8.12,,,,,
1974,Riyadh,Saudi Arabia,25.4,25.41181818,,,1881,8.269090909,8.27,,,,,
1975,Riyadh,Saudi Arabia,25.04,25.40272727,,,1882,8.27,8.13,,,,,
1976,Riyadh,Saudi Arabia,24.97,25.34636364,,,1883,8.250909091,7.98,,,,,
1977,Riyadh,Saudi Arabia,25.99,25.33090909,,,1884,8.198181818,7.77,,,,,
1978,Riyadh,Saudi Arabia,25.95,25.42909091,,,1885,8.151818182,7.92,,,,,
1979,Riyadh,Saudi Arabia,26.2,25.51909091,,,1886,8.16,7.95,,,,,
1980,Riyadh,Saudi Arabia,25.83,25.49909091,,,1887,8.144545455,7.91,,,,,
1981,Riyadh,Saudi Arabia,25.95,25.50909091,,,1888,8.103636364,8.09,,,,,
1982,Riyadh,Saudi Arabia,24.62,25.48090909,,,1889,8.057272727,8.32,,,,,
1983,Riyadh,Saudi Arabia,24.85,25.49090909,,,1890,8.039090909,7.97,,,,,
1984,Riyadh,Saudi Arabia,25.05,25.44090909,,,1891,8.03,8.02,,,,,
1985,Riyadh,Saudi Arabia,25.3,25.43181818,,,1892,8.011818182,8.07,,,,,
1986,Riyadh,Saudi Arabia,25.36,25.46090909,,,1893,8.005454545,8.06,,,,,
1987,Riyadh,Saudi Arabia,26.37,25.58818182,,,1894,8.021818182,8.16,,,,,
1988,Riyadh,Saudi Arabia,25.99,25.58818182,,,1895,8.056363636,8.15,,,,,
1989,Riyadh,Saudi Arabia,25.05,25.50636364,,,1896,8.082727273,8.21,,,,,
1990,Riyadh,Saudi Arabia,25.7,25.46090909,,,1897,8.113636364,8.29,,,,,
1991,Riyadh,Saudi Arabia,25.43,25.42454545,,,1898,8.138181818,8.18,,,,,
1992,Riyadh,Saudi Arabia,24.37,25.28090909,,,1899,8.166363636,8.4,,,,,
1993,Riyadh,Saudi Arabia,25.42,25.35363636,,,1900,8.182727273,8.5,,,,,
1994,Riyadh,Saudi Arabia,26.08,25.46545455,,,1901,8.234545455,8.54,,,,,
1995,Riyadh,Saudi Arabia,25.64,25.51909091,,,1902,8.26,8.3,,,,,
1996,Riyadh,Saudi Arabia,26.28,25.60818182,,,1903,8.273636364,8.22,,,,,
1997,Riyadh,Saudi Arabia,25.49,25.62,,,1904,8.276363636,8.09,,,,,
1998,Riyadh,Saudi Arabia,26.73,25.65272727,,,1905,8.282727273,8.23,,,,,
1999,Riyadh,Saudi Arabia,26.92,25.73727273,,,1906,8.303636364,8.38,,,,,
2000,Riyadh,Saudi Arabia,26.55,25.87363636,,,1907,8.28,7.95,,,,,
2001,Riyadh,Saudi Arabia,26.67,25.96181818,,,1908,8.270909091,8.19,,,,,
2002,Riyadh,Saudi Arabia,26.44,26.05363636,,,1909,8.270909091,8.18,,,,,
2003,Riyadh,Saudi Arabia,26.62,26.25818182,,,1910,8.254545455,8.22,,,,,
2004,Riyadh,Saudi Arabia,26.2,26.32909091,,,1911,8.225454545,8.18,,,,,
2005,Riyadh,Saudi Arabia,26.27,26.34636364,,,1912,8.191818182,8.17,,,,,
2006,Riyadh,Saudi Arabia,26.24,26.40090909,,,1913,8.191818182,8.3,,,,,
2007,Riyadh,Saudi Arabia,26.49,26.42,,,1914,8.225454545,8.59,,,,,
2008,Riyadh,Saudi Arabia,26.21,26.48545455,,,1915,8.270909091,8.59,,,,,
2009,Riyadh,Saudi Arabia,26.71,26.48363636,,,1916,8.270909091,8.23,,,,,
2010,Riyadh,Saudi Arabia,27.37,26.52454545,,,1917,8.238181818,8.02,,,,,
2011,Riyadh,Saudi Arabia,26.4,26.51090909,,,1918,8.254545455,8.13,,,,,
2012,Riyadh,Saudi Arabia,26.83,26.52545455,,,1919,8.271818182,8.38,,,,,
2013,Riyadh,Saudi Arabia,27.78,26.64727273,,,1920,8.288181818,8.36,,,,,
,,,,,,,1921,8.32,8.57,,,,,
,,,,,,,1922,8.340909091,8.41,,,,,
,,,,,,,1923,8.363636364,8.42,,,,,
,,,,,,,1924,8.382727273,8.51,,,,,
,,,,,,,1925,8.377272727,8.53,,,,,
,,,,,,,1926,8.39,8.73,,,,,
,,,,,,,1927,8.416363636,8.52,,,,,
,,,,,,,1928,8.471818182,8.63,,,,,
,,,,,,,1929,8.481818182,8.24,,,,,
,,,,,,,1930,8.504545455,8.63,,,,,
,,,,,,,1931,8.537272727,8.72,,,,,
,,,,,,,1932,8.55,8.71,,,,,
,,,,,,,1933,8.543636364,8.34,,,,,
,,,,,,,1934,8.562727273,8.63,,,,,
,,,,,,,1935,8.563636364,8.52,,,,,
,,,,,,,1936,8.565454545,8.55,,,,,
,,,,,,,1937,8.562727273,8.7,,,,,
,,,,,,,1938,8.593636364,8.86,,,,,
,,,,,,,1939,8.605454545,8.76,,,,,
,,,,,,,1940,8.652727273,8.76,,,,,
,,,,,,,1941,8.665454545,8.77,,,,,
,,,,,,,1942,8.666363636,8.73,,,,,
,,,,,,,1943,8.670909091,8.76,,,,,
,,,,,,,1944,8.717272727,8.85,,,,,
,,,,,,,1945,8.712727273,8.58,,,,,
,,,,,,,1946,8.727272727,8.68,,,,,
,,,,,,,1947,8.75,8.8,,,,,
,,,,,,,1948,8.754545455,8.75,,,,,
,,,,,,,1949,8.73,8.59,,,,,
,,,,,,,1950,8.694545455,8.37,,,,,
,,,,,,,1951,8.682727273,8.63,,,,,
,,,,,,,1952,8.670909091,8.64,,,,,
,,,,,,,1953,8.683636364,8.87,,,,,
,,,,,,,1954,8.665454545,8.56,,,,,
,,,,,,,1955,8.645454545,8.63,,,,,
,,,,,,,1956,8.618181818,8.28,,,,,
,,,,,,,1957,8.622727273,8.73,,,,,
,,,,,,,1958,8.62,8.77,,,,,
,,,,,,,1959,8.618181818,8.73,,,,,
,,,,,,,1960,8.617272727,8.58,,,,,
,,,,,,,1961,8.656363636,8.8,,,,,
,,,,,,,1962,8.667272727,8.75,,,,,
,,,,,,,1963,8.687272727,8.86,,,,,
,,,,,,,1964,8.645454545,8.41,,,,,
,,,,,,,1965,8.642727273,8.53,,,,,
,,,,,,,1966,8.64,8.6,,,,,
,,,,,,,1967,8.678181818,8.7,,,,,
,,,,,,,1968,8.659090909,8.52,,,,,
,,,,,,,1969,8.643636364,8.6,,,,,
,,,,,,,1970,8.640909091,8.7,,,,,
,,,,,,,1971,8.642727273,8.6,,,,,
,,,,,,,1972,8.615454545,8.5,,,,,
,,,,,,,1973,8.633636364,8.95,,,,,
,,,,,,,1974,8.598181818,8.47,,,,,
,,,,,,,1975,8.628181818,8.74,,,,,
,,,,,,,1976,8.611818182,8.35,,,,,
,,,,,,,1977,8.634545455,8.85,,,,,
,,,,,,,1978,8.633636364,8.69,,,,,
,,,,,,,1979,8.652727273,8.73,,,,,
,,,,,,,1980,8.687272727,8.98,,,,,
,,,,,,,1981,8.73,9.17,,,,,
,,,,,,,1982,8.733636364,8.64,,,,,
,,,,,,,1983,8.781818182,9.03,,,,,
,,,,,,,1984,8.758181818,8.69,,,,,
,,,,,,,1985,8.775454545,8.66,,,,,
,,,,,,,1986,8.783636364,8.83,,,,,
,,,,,,,1987,8.841818182,8.99,,,,,
,,,,,,,1988,8.873636364,9.2,,,,,
,,,,,,,1989,8.894545455,8.92,,,,,
,,,,,,,1990,8.94,9.23,,,,,
,,,,,,,1991,8.958181818,9.18,,,,,
,,,,,,,1992,8.928181818,8.84,,,,,
,,,,,,,1993,8.949090909,8.87,,,,,
,,,,,,,1994,8.95,9.04,,,,,
,,,,,,,1995,9.01,9.35,,,,,
,,,,,,,1996,9.044545455,9.04,,,,,
,,,,,,,1997,9.078181818,9.2,,,,,
,,,,,,,1998,9.126363636,9.52,,,,,
,,,,,,,1999,9.134545455,9.29,,,,,
,,,,,,,2000,9.16,9.2,,,,,
,,,,,,,2001,9.176363636,9.41,,,,,
,,,,,,,2002,9.211818182,9.57,,,,,
,,,,,,,2003,9.274545455,9.53,,,,,
,,,,,,,2004,9.315454545,9.32,,,,,
,,,,,,,2005,9.375454545,9.7,,,,,
,,,,,,,2006,9.391818182,9.53,,,,,
,,,,,,,2007,9.454545455,9.73,,,,,
,,,,,,,2008,9.475454545,9.43,,,,,
,,,,,,,2009,9.474545455,9.51,,,,,
,,,,,,,2010,9.511818182,9.7,,,,,
,,,,,,,2011,9.540909091,9.52,,,,,
,,,,,,,2012,9.55,9.51,,,,,
,,,,,,,2013,9.553636364,9.61,,,,,
,,,,,,,2014,9.557272727,9.57,,,,,
,,,,,,,2015,9.603636364,9.83,,,,,
